"Country","Strain Name","Collection Date"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-202/2021","2021-05-04"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/66251/2021","2021-05-04"
"Jordan","hCoV-19/Jordan/AM-Biolab042/2021","2021-05-04"
"Lebanon","hCoV-19/Lebanon/BI_MEIH1/2021","2021-05-03"
"Senegal","hCoV-19/Senegal/SN-IR2-0018711/2021","2021-04-30"
"Saint Lucia","hCoV-19/Saint Lucia/66451/2021","2021-04-29"
"Kazakhstan","hCoV-19/Kazakhstan/ZHA-NRL-574S/2021","2021-04-27"
"Latvia","hCoV-19/Latvia/2348/2021","2021-04-26"
"Guam","hCoV-19/USA/GU-CDC-2-4356508/2021","2021-04-26"
"Ghana","hCoV-19/Ghana/WACCBIP-GS703/2021","2021-04-24"
"Honduras","hCoV-19/Honduras/326700/2021","2021-04-23"
"Angola","hCoV-19/Angola/CERI-KRISP-K014916/2021","2021-04-23"
"Morocco","hCoV-19/Morocco/FMP-272/2021","2021-04-22"
"North Macedonia","hCoV-19/North Macedonia/16329-k/2021","2021-04-22"
"Mozambique","hCoV-19/Mozambique/CERI-KRISP-K018290/2021","2021-04-21"
"Wallis and Futuna","hCoV-19/Wallis and Futuna/HCL021099348801/2021","2021-04-19"
"British Virgin Islands","hCoV-19/British Virgin Islands/64785/2021","2021-04-19"
"Monaco","hCoV-19/Monaco/CERBAHC-HTNG3AFX2-S63/2021","2021-04-17"
"Cameroon","hCoV-19/Cameroon/ICGEB-CIRCB_26445/2021","2021-04-17"
"Saudi Arabia","hCoV-19/Saudi Arabia/KFSHRC8/2021","2021-04-15"
"Malaysia","hCoV-19/Malaysia/IMR_HDK664207/2021","2021-04-13"
"Palestine","hCoV-19/Palestine/AAS75/2021","2021-04-09"
"Grenada","hCoV-19/63766/Grenada/2021","2021-04-08"
"Paraguay","hCoV-19/Paraguay/iics_12146/2021","2021-04-08"
"morocco","hCoV-19/Morocco/FMP-268/2021","2021-04-08"
"Guatemala","hCoV-19/Guatemala/ASI03001/2021","2021-04-07"
"Peru","hCoV-19/Peru/TUM-INS-930/2021","2021-04-07"
"Georgia","hCoV-19/Georgia/Tb-SNGS072/2021","2021-04-06"
"Dominica","hCoV-19/Dominica/65658/2021","2021-04-01"
"Philippines","hCoV-19/Philippines/PH-PGC-19830/2021","2021-03-30"
"Djibouti","hCoV-19/Djibouti/NAMRU3-E611/2021","2021-03-28"
"Democratic Republic of the Congo","hCoV-19/DRC/254728/2021","2021-03-28"
"Gambia","hCoV-19/Gambia/024439/2021","2021-03-25"
"Anguilla","hCoV-19/Anguilla/60299/2021","2021-03-23"
"Turks and Caicos Islands","hCoV-19/Turks and Caicos Islands/60992/2021","2021-03-22"
"Nigeria","hCoV-19/Nigeria/CV1397/2021","2021-03-19"
"Armenia","hCoV-19/Armenia/IMB3-7/2021","2021-03-18"
"Ukraine","hCoV-19/Ukraine/Kyiv-PHC-0034/2021","2021-03-18"
"Dominican Republic","hCoV-19/Dominican Republic/Yale-2287/2021","2021-03-12"
"Albania","hCoV-19/Albania/211060667/2021","2021-03-11"
"Serbia","hCoV-19/Serbia/Belgrade-J2254411103/2021","2021-03-11"
"Iraq","hCoV-19/Iraq/Erbil 4/2021","2021-03-09"
"Cote d'Ivoire","hCoV-19/Cote d'Ivoire/BKE2512-bc57/2021","2021-03-09"
"Gibraltar","hCoV-19/Gibraltar/211000753/2021","2021-03-08"
"Tunisia","hCoV-19/Tunisia/SP-0393/2021","2021-03-08"
"Malawi","hCoV-19/Malawi/CERI-KRISP-K015841/2021","2021-03-08"
"Somalia","hCoV-19/Somalia/NAMRU3-Mog-10/2021","2021-03-05"
"Republic of the Congo","hCoV-19/Congo/ROC-ITM-069-6277/2021","2021-03-05"
"Moldova","hCoV-19/Moldova/S3331Nr1/2021","2021-03-03"
"Hungary","hCoV-19/Hungary/7386_27/2021","2021-02-26"
"Togo","hCoV-19/Togo/NMIMR-TG-TGS-053-21/2021","2021-02-25"
"Belarus","hCoV-19/Belarus/RRCEM-Vis_70/2021","2021-02-24"
"Jamaica","hCoV-19/Jamaica/63391/2021","2021-02-12"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/93096/2021","2021-02-09"
"Azerbaijan","hCoV-19/Azerbaijan/Aghayev-11/2021","2021-02-07"
"Montserrat","hCoV-19/Montserrat/53590/2021","2021-02-05"
"Guinea Bissau","hCoV-19/Guinea Bissau/JPLNSP0038/2021","2021-02-05"
"Ethiopia","hCoV-19/Ethiopia/ICGEB-S8/2021","2021-02-04"
"Burkina Faso","hCoV-19/Burkina Faso/7952/2021","2021-02-03"
"Cyprus","hCoV-19/Cyprus/Cy167381/2021","2021-01-27"
"Montenegro","hCoV-19/Montenegro/ChVir23235/2021","2021-01-21"
"Belize","hCoV-19/Belize/BZ-CML-TCMC-BZ048-0121/2021","2021-01-20"
"Mauritius","hCoV-19/Mauritius/N2021/2021","2021-01-10"
"Zambia","hCoV-19/Zambia/RC-086/2021","2021-01-08"
"Kosovo","hCoV-19/Kosovo/ChVir23131/2021","2021-01-06"
"Iceland","hCoV-19/Iceland/4061/2021","2021-01-05"
"Bermuda","hCoV-19/Bermuda/51485/2021","2021-01-05"
"Guinea","hCoV-19/Guinea/CERFIG-21399/2021","2021-00-00"
"Central African Republic","hCoV-19/Central African Republic/RCA-50/2021","2021-00-00"
"United Arab Emirates","hCoV-19/United Arab Emirates/4260/2020","2020-12-29"
"Oman","hCoV-19/Oman/182621/2020","2020-12-22"
